"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "Vue", "JSON", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Tom\greenfox\Vue-Spring-Learning\frontend\src\views\Tests\HTTPcall\child\HTTPGet.vue", "Vue", 0, 0, 0, 49, 0, 0, 0, 0, 7, 56
"c:\Users\Tom\greenfox\Vue-Spring-Learning\frontend\src\views\Tests\HTTPcall\child\HTTPPatch.vue", "Vue", 0, 0, 0, 80, 0, 0, 0, 0, 4, 84
"c:\Users\Tom\greenfox\Vue-Spring-Learning\frontend\src\views\Tests\HTTPcall\child\HTTPPost.vue", "Vue", 0, 0, 0, 62, 0, 0, 0, 13, 4, 79
"c:\Users\Tom\greenfox\Vue-Spring-Learning\frontend\src\views\Tests\Redirected.vue", "Vue", 0, 0, 0, 25, 0, 0, 0, 0, 3, 28
"c:\Users\Tom\greenfox\Vue-Spring-Learning\frontend\src\views\UserOps\Login.vue", "Vue", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\Tom\greenfox\Vue-Spring-Learning\frontend\src\views\UserOps\Register.vue", "Vue", 0, 0, 0, 107, 0, 0, 0, 2, 6, 115
"c:\Users\Tom\greenfox\Vue-Spring-Learning\frontend\tests\e2e\plugins\index.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 12, 5, 26
"c:\Users\Tom\greenfox\Vue-Spring-Learning\frontend\tests\e2e\specs\test.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 1, 2, 9
"c:\Users\Tom\greenfox\Vue-Spring-Learning\frontend\tests\e2e\support\commands.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 25, 1, 26
"c:\Users\Tom\greenfox\Vue-Spring-Learning\frontend\tests\e2e\support\index.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 17, 3, 21
"c:\Users\Tom\greenfox\Vue-Spring-Learning\frontend\tests\unit\example.spec.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Tom\greenfox\Vue-Spring-Learning\frontend\tsconfig.json", "JSON with Comments", 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Tom\greenfox\Vue-Spring-Learning\frontend\vue.config.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"Total", "-", 76, 51, 464, 864, 27974, 60, 20, 74, 177, 29760
